file_path,detected_name,unicode_sequence,codepoints_hex,status,method
all/Kiss Man Person Medium Light Skin Tone.svg,Kiss Man Person Medium Light Skin Tone,👨🏼‍❤️‍💋‍🧑,1F468-1F3FC-200D-2764-FE0F-200D-1F48B-200D-1F9D1,mapped,special: kiss (MAN PERSON)
all/Club Suit.svg,Club Suit,♣️,2663-FE0F,mapped,auto-cldr-exact
all/Kiss Woman Woman Medium Dark Skin Tone Medium Skin Tone.svg,Kiss Woman Woman Medium Dark Skin Tone Medium Skin Tone,👩🏾‍❤️‍💋‍👩🏽,1F469-1F3FE-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FD,mapped,lookup+tone+gender|fq-correction
all/Kiss Man Person Light Skin Tone No Skin Tone.svg,Kiss Man Person Light Skin Tone No Skin Tone,👨🏻‍❤️‍💋‍🧑,1F468-1F3FB-200D-2764-FE0F-200D-1F48B-200D-1F9D1,mapped,special: kiss (MAN PERSON)
all/Person Playing Water Polo Medium Dark Skin Tone.svg,Person Playing Water Polo Medium Dark Skin Tone,🤽🏾,1F93D-1F3FE,mapped,auto-cldr-exact
all/Woman Superhero Light Skin Tone.svg,Woman Superhero Light Skin Tone,🦸🏻‍♀️,1F9B8-1F3FB-200D-2640-FE0F,mapped,lookup+tone+gender
all/Person Beard Medium Skin Tone.svg,Person Beard Medium Skin Tone,🧔🏽,1F9D4-1F3FD,mapped,translation-pass
all/Index Pointing Up Medium Dark Skin Tone.svg,Index Pointing Up Medium Dark Skin Tone,☝🏾,261D-1F3FE,mapped,gesture
all/Man Office Worker Medium Light Skin Tone.svg,Man Office Worker Medium Light Skin Tone,👨🏼‍💼,1F468-1F3FC-200D-1F4BC,mapped,profession|fq-correction
all/Couple With Heart Man No Skin Tone Man Light Skin Tone.svg,Couple With Heart Man No Skin Tone Man Light Skin Tone,👨🏻‍❤️‍👨,1F468-1F3FB-200D-2764-FE0F-200D-1F468,mapped,special: couple-with-heart (MAN MAN)
all/Couple With Heart Person Woman Medium Skin Tone Dark Skin Tone.svg,Couple With Heart Person Woman Medium Skin Tone Dark Skin Tone,🧑🏽‍❤️‍👩🏿,1F9D1-1F3FD-200D-2764-FE0F-200D-1F469-1F3FF,mapped,special: couple-with-heart (PERSON WOMAN)
all/Man Zombie.svg,Man Zombie,🧟‍♂️,1F9DF-200D-2642-FE0F,mapped,lookup++gender
all/Nail Polish Medium Dark Skin Tone.svg,Nail Polish Medium Dark Skin Tone,💅🏾,1F485-1F3FE,mapped,lookup+tone
all/Lotion Bottle.svg,Lotion Bottle,🧴,1F9F4,mapped,lookup
all/Person Beard Medium Dark Skin Tone.svg,Person Beard Medium Dark Skin Tone,🧔🏾,1F9D4-1F3FE,mapped,translation-pass
all/Writing Hand Medium Dark Skin Tone.svg,Writing Hand Medium Dark Skin Tone,✍🏾,270D-1F3FE,mapped,lookup+tone
all/Couple With Heart Person Woman Medium Dark Skin Tone No Skin Tone.svg,Couple With Heart Person Woman Medium Dark Skin Tone No Skin Tone,🧑🏾‍❤️‍👩,1F9D1-1F3FE-200D-2764-FE0F-200D-1F469,mapped,special: couple-with-heart (PERSON WOMAN)
all/Receipt.svg,Receipt,🧾,1F9FE,mapped,lookup
all/Deciduous Tree.svg,Deciduous Tree,🌳,1F333,mapped,lookup
all/Couple With Heart Man Person Medium Light Skin Tone Light Skin Tone.svg,Couple With Heart Man Person Medium Light Skin Tone Light Skin Tone,👨🏼‍❤️‍🧑🏻,1F468-1F3FC-200D-2764-FE0F-200D-1F9D1-1F3FB,mapped,special: couple-with-heart (MAN PERSON)
all/Person Gesturing Ok Medium Dark Skin Tone.svg,Person Gesturing Ok Medium Dark Skin Tone,🙆🏾,1F646-1F3FE,mapped,auto-cldr-exact
all/Woman In Tuxedo Medium Light Skin Tone.svg,Woman In Tuxedo Medium Light Skin Tone,🤵🏼‍♀️,1F935-1F3FC-200D-2640-FE0F,mapped,translation-pass
all/Man Elf Medium Skin Tone.svg,Man Elf Medium Skin Tone,🧝🏽‍♂️,1F9DD-1F3FD-200D-2642-FE0F,mapped,lookup+tone+gender
all/Woman Supervillain Medium Skin Tone.svg,Woman Supervillain Medium Skin Tone,🦹🏽‍♀️,1F9B9-1F3FD-200D-2640-FE0F,mapped,lookup+tone+gender
all/Person In Steamy Room.svg,Person In Steamy Room,🧖,1F9D6,mapped,translation-pass
all/Person Dark Skin Tone White Hair.svg,Person Dark Skin Tone White Hair,🧑🏿‍🦳,1F9D1-1F3FF-200D-1F9B3,mapped,hair-attr
all/Couple With Heart Person Person Light Skin Tone No Skin Tone.svg,Couple With Heart Person Person Light Skin Tone No Skin Tone,🧑🏻‍❤️‍🧑,1F9D1-1F3FB-200D-2764-FE0F-200D-1F9D1,mapped,special: couple-with-heart (PERSON PERSON)
all/Woman Elf Medium Skin Tone.svg,Woman Elf Medium Skin Tone,🧝🏽‍♀️,1F9DD-1F3FD-200D-2640-FE0F,mapped,lookup+tone+gender
all/Green Apple.svg,Green Apple,🍏,1F34F,mapped,lookup
all/Man In Tuxedo Medium Skin Tone.svg,Man In Tuxedo Medium Skin Tone,🤵🏽‍♂️,1F935-1F3FD-200D-2642-FE0F,mapped,translation-pass
all/Person Gesturing No Medium Light Skin Tone.svg,Person Gesturing No Medium Light Skin Tone,🙅🏼,1F645-1F3FC,mapped,auto-cldr-exact
all/Flag Greece.svg,Flag Greece,🇬🇷,1F1EC-1F1F7,mapped,flag
all/Scientist Light Skin Tone.svg,Scientist Light Skin Tone,🧑🏻‍🔬,1F9D1-1F3FB-200D-1F52C,mapped,profession|fq-correction
